month,state_fips,state_abbr,state_name,offenses,clearances,population
2021-01,1,AL,Alabama,264,27,620000
2021-02,1,AL,Alabama,258,40,620000
2021-03,1,AL,Alabama,236,21,620000
2021-04,1,AL,Alabama,210,26,620000
2021-05,1,AL,Alabama,287,37,620000
2021-06,1,AL,Alabama,259,21,620000
2021-07,1,AL,Alabama,255,34,620000
2021-08,1,AL,Alabama,269,27,620000
2021-09,1,AL,Alabama,169,14,620000
2021-10,1,AL,Alabama,183,29,620000
2021-11,1,AL,Alabama,208,20,620000
2021-12,1,AL,Alabama,201,35,620000
2022-01,1,AL,Alabama,235,21,620000
2022-02,1,AL,Alabama,269,44,620000
2022-03,1,AL,Alabama,223,34,620000
2022-04,1,AL,Alabama,238,32,620000
2022-05,1,AL,Alabama,298,40,620000
2022-06,1,AL,Alabama,253,41,620000
2022-07,1,AL,Alabama,199,27,620000
2022-08,1,AL,Alabama,188,28,620000
2022-09,1,AL,Alabama,240,26,620000
2022-10,1,AL,Alabama,222,20,620000
2022-11,1,AL,Alabama,221,24,620000
2022-12,1,AL,Alabama,245,35,620000
2023-01,1,AL,Alabama,226,23,620000
2023-02,1,AL,Alabama,283,30,620000
2023-03,1,AL,Alabama,313,44,620000
2023-04,1,AL,Alabama,258,25,620000
2023-05,1,AL,Alabama,269,32,620000
2023-06,1,AL,Alabama,243,43,620000
2023-07,1,AL,Alabama,222,33,620000
2023-08,1,AL,Alabama,202,33,620000
2023-09,1,AL,Alabama,225,19,620000
2023-10,1,AL,Alabama,196,22,620000
2023-11,1,AL,Alabama,220,38,620000
2023-12,1,AL,Alabama,254,43,620000
2024-01,1,AL,Alabama,230,27,620000
2024-02,1,AL,Alabama,305,52,620000
2024-03,1,AL,Alabama,251,26,620000
2024-04,1,AL,Alabama,285,39,620000
2024-05,1,AL,Alabama,272,46,620000
2024-06,1,AL,Alabama,305,37,620000
2024-07,1,AL,Alabama,270,35,620000
2024-08,1,AL,Alabama,340,30,620000
2024-09,1,AL,Alabama,238,34,620000
2024-10,1,AL,Alabama,225,36,620000
2024-11,1,AL,Alabama,215,25,620000
2024-12,1,AL,Alabama,241,43,620000
2025-01,1,AL,Alabama,170,28,620000
2025-02,1,AL,Alabama,251,20,620000
2025-03,1,AL,Alabama,269,36,620000
2025-04,1,AL,Alabama,236,25,620000
2025-05,1,AL,Alabama,269,33,620000
2025-06,1,AL,Alabama,256,32,620000
2025-07,1,AL,Alabama,313,33,620000
2025-08,1,AL,Alabama,219,28,620000
2025-09,1,AL,Alabama,256,43,620000
2025-10,1,AL,Alabama,284,31,620000
2025-11,1,AL,Alabama,200,19,620000
2025-12,1,AL,Alabama,206,32,620000
2026-01,1,AL,Alabama,202,27,620000
2021-01,2,AK,Alaska,306,37,840000
2021-02,2,AK,Alaska,439,78,840000
2021-03,2,AK,Alaska,370,64,840000
2021-04,2,AK,Alaska,359,64,840000
2021-05,2,AK,Alaska,372,69,840000
2021-06,2,AK,Alaska,387,38,840000
2021-07,2,AK,Alaska,351,58,840000
2021-08,2,AK,Alaska,309,42,840000
2021-09,2,AK,Alaska,271,39,840000
2021-10,2,AK,Alaska,279,37,840000
2021-11,2,AK,Alaska,378,42,840000
2021-12,2,AK,Alaska,242,27,840000
2022-01,2,AK,Alaska,311,38,840000
2022-02,2,AK,Alaska,408,55,840000
2022-03,2,AK,Alaska,361,51,840000
2022-04,2,AK,Alaska,390,48,840000
2022-05,2,AK,Alaska,384,57,840000
2022-06,2,AK,Alaska,353,34,840000
2022-07,2,AK,Alaska,359,55,840000
2022-08,2,AK,Alaska,322,57,840000
2022-09,2,AK,Alaska,386,37,840000
2022-10,2,AK,Alaska,296,33,840000
2022-11,2,AK,Alaska,359,37,840000
2022-12,2,AK,Alaska,362,50,840000
2023-01,2,AK,Alaska,310,52,840000
2023-02,2,AK,Alaska,361,36,840000
2023-03,2,AK,Alaska,341,45,840000
2023-04,2,AK,Alaska,331,54,840000
2023-05,2,AK,Alaska,389,61,840000
2023-06,2,AK,Alaska,372,48,840000
2023-07,2,AK,Alaska,332,41,840000
2023-08,2,AK,Alaska,334,36,840000
2023-09,2,AK,Alaska,275,37,840000
2023-10,2,AK,Alaska,264,30,840000
2023-11,2,AK,Alaska,316,58,840000
2023-12,2,AK,Alaska,237,34,840000
2024-01,2,AK,Alaska,365,35,840000
2024-02,2,AK,Alaska,436,81,840000
2024-03,2,AK,Alaska,371,68,840000
2024-04,2,AK,Alaska,391,54,840000
2024-05,2,AK,Alaska,351,39,840000
2024-06,2,AK,Alaska,345,44,840000
2024-07,2,AK,Alaska,346,65,840000
2024-08,2,AK,Alaska,310,42,840000
2024-09,2,AK,Alaska,376,50,840000
2024-10,2,AK,Alaska,431,63,840000
2024-11,2,AK,Alaska,267,43,840000
2024-12,2,AK,Alaska,338,63,840000
2025-01,2,AK,Alaska,368,54,840000
2025-02,2,AK,Alaska,293,28,840000
2025-03,2,AK,Alaska,357,53,840000
2025-04,2,AK,Alaska,299,32,840000
2025-05,2,AK,Alaska,375,70,840000
2025-06,2,AK,Alaska,385,58,840000
2025-07,2,AK,Alaska,354,56,840000
2025-08,2,AK,Alaska,323,58,840000
2025-09,2,AK,Alaska,327,37,840000
2025-10,2,AK,Alaska,253,33,840000
2025-11,2,AK,Alaska,274,41,840000
2025-12,2,AK,Alaska,225,25,840000
2026-01,2,AK,Alaska,329,53,840000
2021-01,4,AZ,Arizona,507,56,1280000
2021-02,4,AZ,Arizona,676,75,1280000
2021-03,4,AZ,Arizona,645,81,1280000
2021-04,4,AZ,Arizona,630,113,1280000
2021-05,4,AZ,Arizona,671,68,1280000
2021-06,4,AZ,Arizona,620,66,1280000
2021-07,4,AZ,Arizona,707,119,1280000
2021-08,4,AZ,Arizona,498,58,1280000
2021-09,4,AZ,Arizona,593,89,1280000
2021-10,4,AZ,Arizona,619,87,1280000
2021-11,4,AZ,Arizona,620,50,1280000
2021-12,4,AZ,Arizona,546,88,1280000
2022-01,4,AZ,Arizona,561,98,1280000
2022-02,4,AZ,Arizona,716,67,1280000
2022-03,4,AZ,Arizona,675,91,1280000
2022-04,4,AZ,Arizona,683,73,1280000
2022-05,4,AZ,Arizona,573,58,1280000
